                           TxHash                                 TxIx        Amount
05fdb9488a5426d8addedf4fa02099720ec5271b7c36e08b6629cd2c4ef41201     0        32031920 lovelace + TxOutDatumInline ReferenceTxInsScriptsInlineDatumsInBabbageEra (ScriptDataConstructor 0 [])
0605816ce23be338fbc65bc43fcd8896b849a69f2ddbfd0ca5b9c93d396424b7     0        34531720 lovelace + TxOutDatumHash ScriptDataInBabbageEra "923918e403bf43c34b4ef6b48eb2ee04babed17320d8d1b9ff9ad086e86f44ec"
0649810fc730d2261205cb0781cedb850a3c82507108ad03f5cee0f0aed590f3     0        9563890 lovelace + TxOutDatumHash ScriptDataInBabbageEra "923918e403bf43c34b4ef6b48eb2ee04babed17320d8d1b9ff9ad086e86f44ec"
06671272bcc148307638364360f8d8775827f628c5260867f5af3c3d48bed0c2     0        6262430 lovelace + TxOutDatumInline ReferenceTxInsScriptsInlineDatumsInBabbageEra (ScriptDataConstructor 0 [])
066b85102269b5dc12c88ac27a56de0e1142df381080b644e885eca6cadee384     0        32031920 lovelace + TxOutDatumInline ReferenceTxInsScriptsInlineDatumsInBabbageEra (ScriptDataConstructor 0 [])
0674ca71a71e2744127764b8cb5eaa611dea958eab3e45fe205f5b65f9d4e063     0        35191150 lovelace + TxOutDatumInline ReferenceTxInsScriptsInlineDatumsInBabbageEra (ScriptDataConstructor 0 [])
068800e2d6c2459b5f12655e72a87ed6f5deceb79eded12d68cc38e7f951cff5     0        1202490 lovelace + 1 ec58c51a266f0d8667f1239538af5aad958c50196874493bd1e9ee65.61757468 + TxOutDatumInline ReferenceTxInsScriptsInlineDatumsInBabbageEra (ScriptDataBytes "[1688020408856] Inbound Message!")
06ee92fbccad0e7d692935c8d9533c2efe92d866f3f2184995d2f21a2e23c338     0        6279670 lovelace + TxOutDatumInline ReferenceTxInsScriptsInlineDatumsInBabbageEra (ScriptDataConstructor 0 [])
06ff01b5a5234fa5d408b6ef400ec0786767919015f12eff5c71cc8bcaa8e5e3     0        23261070 lovelace + TxOutDatumInline ReferenceTxInsScriptsInlineDatumsInBabbageEra (ScriptDataConstructor 0 [])
070c28b7e6bb431569b76fade0e852f9a72b8352e3b413ad9fd54ce8b085ae67     0        35191150 lovelace + TxOutDatumInline ReferenceTxInsScriptsInlineDatumsInBabbageEra (ScriptDataConstructor 0 [])
070d5bdd6f6388c4ba96d254e3a5591f8819ad3df4a65058c15db5d4519234ea     0        7339930 lovelace + TxOutDatumHash ScriptDataInBabbageEra "923918e403bf43c34b4ef6b48eb2ee04babed17320d8d1b9ff9ad086e86f44ec"
0722e527d0ece5584dda46ff8734af960d14e56bd6e2981a479d268cd89f4604     0        23265380 lovelace + TxOutDatumInline ReferenceTxInsScriptsInlineDatumsInBabbageEra (ScriptDataConstructor 0 [])
072c84e44cd7dac9550c72c02b7b62bfaa629f2190095b6d325ecf3f15e73206     0        6262430 lovelace + TxOutDatumInline ReferenceTxInsScriptsInlineDatumsInBabbageEra (ScriptDataConstructor 0 [])
0737a75b0167acdc72974f10016bdd15cdde680f45c4e0b4aa289e774988f3a4     0        1202490 lovelace + 1 ec58c51a266f0d8667f1239538af5aad958c50196874493bd1e9ee65.61757468 + TxOutDatumInline ReferenceTxInsScriptsInlineDatumsInBabbageEra (ScriptDataBytes "[1687852832730] Inbound Message!")
074734af728b11b81513eb26b8c56c9a7cc1cc2c06265dc1d597273f9ccef17e     0        41268250 lovelace + TxOutDatumHash ScriptDataInBabbageEra "923918e403bf43c34b4ef6b48eb2ee04babed17320d8d1b9ff9ad086e86f44ec"
